	Unnamed: 0	topic_id	facet_id	facet	initial_request	question1	answer1	question2	answer2	question3	answer3
11	11	210	F0464	Find information on handheld golf gps devices.	golf gps	would you like a comparison of golf gps systems	yes	are you interested in the history of gps systems in golf	No, I want to compare hand held gps devices.	are you interested in the accuracy of the gps	Please provide comparisons of golf gps system specifications.
12	12	201	F0420	What are hardware options for a raspberry pi?	I would like to know more about raspberry pi	do you want to know where raspberry pi is made	no	do you want to know which operating systems that work for raspberry pi	No.	are you interested in raspberry pi projects	Yes, but I am more specifically interested in the hardware options.
13	13	212	F0470	Find information about home theater receivers.	Tell me about home theater systems.	are you looking to compare price points for theater systems	i want to find information about home theater receivers first before deciding on prices	would you like to buy a home theater system	Just like I said before, I want to find information about home theater receivers first before making a purchase decision.	are you looking to purchase a home theater system	I just want general information on them.
14	14	290	F0737	Find pictures of Norway Spruce trees.	Tell me about norway spruce.	what about norway spruce are you looking for	i would like to see pictures	are you asking about a man named norway spruce	No, I want pictures of trees.	are you talking about a plant by the name of norway spruce	yes, these are Norway Spruce trees.
15	15	212	F0471	Find information about wireless home theater systems.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	im trying to find out more information about wireless home theater systems	would you like to buy a home theater system	I don't know	are you looking to compare price points for theater systems	I don't know
16	16	218	F0492	What solar water fountains are available for gardens.	Tell me information about solar water fountains.	are you looking for the price of solar water fountains	no i need a list of products	would you like to know the history of solar water fountains	I want to know which ones I can use for gardens	what specific types of solar water fountains are you interested in	I am interested in ones that are specifically designed for gardens.
17	17	242	F0563	What are the nutritional facts for cannellini beans?	cannellini beans	are you interested in making soup with cannellini beans	no i just want the nutritional facts	are you interested in where to buy cannellini beans	I don't know	do you want to know an analog of cannellini beans	No, I would like to know just the nutritional facts of the beans.
18	18	249	F0583	Find job openings for occupational therapists.	What is an occupational therapist?	do you want to find an occupational therapist	only job openings for occupational therapists	are you looking for an occupational therapist	No.	do you want to know what an occupational therapist does	No just the job openings.
19	19	226	F0520	Find information about hotels in Traverse City, Michigan.	Tell me about traverse city.	are you trying to find directions to traverse city	no i want to find information on hotels in traverse city	do you want to know about the local government of traverse city	I don't know	would you like to check the weather for traverse city	Not sure.
20	20	210	F0461	What is the best golf gps device?	golf gps	would you like to buy a golf gps system	yes which is the best one	would you like a comparison of golf gps systems	Yes I would	are you interested in a specific golf gps system	No, show me all recommended ones.
21	21	245	F0573	Find a map of Roosevelt Island (NY).	roosevelt island	what conent would you like about roosevelt island	yes i would like a map of the island	would you like to see a map of roosevelt island	yes, that's correct	do you want to know about the geographical history of the island	No, I just want a map of Roosevelt Island
22	22	274	F0674	Find online instructions/tips for putting.	Find information on golf instruction.	are you trying to find out how to become a golf instructor	no i want information about how to putt	are you trying to find a golf instructor near you	I don't know	do you want to find out how much a golf instructor charges	No
23	23	213	F0480	What are the recovery prospects for CTS surgical patients?	I'm looking for information on carpal tunnel syndrome	are you interested in ways to relieve pain caused by carpal tunnel syndrome	how will my recovery be if i choose to have cts surgery	would you like to know how to prevent carpal tunnel syndrome	No, I want to know if my recovery will be speedy after I have CTS surgery	would you like to know about carpal tunnel syndrome treatment	Just the recovery prospects after having surgery.
24	24	265	F0638	Where is tornado alley?	What were the worst tornadoes in the USA?	which tornados were the most devastating	i am not interested in this information	are you interested in tornado disasters	No.	would like to know about where f5 tornadoes have struck	No, I would like to know where tornado alley is.
25	25	281	F0708	Find a ketogenic diet food list.	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	no i want a ketogenic feet food list	what kinds of specialized diets are you interested in	Find me a list of Ketogenic diet foods.	are you searching for dieting pills	No, I need to find a keotgenic food list
26	26	222	F0509	Find information on male menopause medication.	I'm looking for information on male menopause	would you like to know what age men may start male menopause	yes i would like to know i think at the age of 50 man starts menopause	why are you interested in learning more about male menopause	I want to find out about male menopause medication.	are you looking for some medication	Yes, I am looking for info on that medication.
27	27	259	F0620	How does one get rid of carpenter bees?	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	yes i want to know how to get rid of carpenterter bees	what kind of sound carpenterter bees make	I don't know.	is this an emergency	No just what do they sound like?
28	28	225	F0516	Find information about Purdue University sports program.	I'm looking for black and gold.	do you want to look at anything that has a black and gold background	i want ot see black and gold backgrounds regarding purdue university sports program	are you interested in seeing art that features the colors black and gold	I don't know	are you wanting to find black and gold logos	yes, but only specific to Purdue university sports program.
29	29	288	F0718	Find biographical information about Fidel Castro.	I'm interested in Fidel Castro	are you wanting to read about fidel castro biography	yes i am looking for biographical information about fidel castro	are you interested in what fidel castro did for cuba	Yes, as well as other biographical information.	do you need to know what fidel castro did for cuba	Yes, along with other biographical information.
30	30	277	F0683	"What are the names of the cast members of the movie ""Bewitched""?"	What is bewitched cast?	would you like to know where the cast of bewitched are now	no i want to know who was in the movie	when is the time period of the bewitched cast you would like to know	I don't know.	are you interested in knowng which cast members of bewitched are still alive	Just all the cast members dead or alive.
31	31	207	F0442	What are the symptoms of BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	no id like to know what the symptoms are	are you looking for symptoms of fibromyalgia	No, I am looking for BPH symptoms.	do you want information on treatments for fibromyalgia	Nope just the syptoms.
32	32	288	F0719	What is the relationship between Ozzie Guillen and Fidel Castro?	I'm interested in Fidel Castro	who is fidel castro	i don know who fidel castro is	what specifically do you need to know about fidel castro	His relationship with Ozzie Guillen.	are you wanting to read about fidel castro biography	No, I need to know about his connection to Ozzie Guillen as I said earlier.
33	33	237	F0550	How does anxiety cause the feeling of a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	i want to know how does anxiety cause the feeling of a lump in the throat	what type of medical information on lumps in the throat would you like	Can anxiety cause lumps in throats?	are you referring to the person	Explain the process of increased stress levels causing increased thickness in the throat.
34	34	299	F0761	What restaurants use pink slime?	What is pink slime in ground beef	do you want to know what pink slime in ground beef is made of	no	would you be interested to know if the uk has pink slime in their ground beef	No, I would like to know  the names of restaurants that use pink slime in their meat?	are you interested in the video about pink slime in ground beef	No, just the restaurants that use it in their meat.
35	35	259	F0618	How do you identify carpenter bees and how are they different from other bees?	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	no i can tell the difference between a carpenterter bee and other bees	are you interested in the difference between carpenterter bee and other bees	Yes, please give me more information	are you simply seeking general information about carpenterter bees	Yes, I need general information on how carpenterter bees and how they interact with their environment.
36	36	278	F0689	"What songs were sung on ""Mister Rogers' Neighborhood""?"	Find information about mister rogers	are you interested in the details of mister rogers life	no i want information about the songs that were sung on mister rogers neighborhood	are you interested in watching clips of mister rogers neighborhood	I don't know	are you interested in the mister rogers movie	I do not know if it's the movie or not.
37	37	220	F0504	Who holds the NBA record for most assists?	I'm interested in NBA records	what nba records are you interested in	the player with the most assists	want to know who holds the record for most assists	Yes	are you interested in nba records for this season or all of history	In all of NBA history.
38	38	249	F0585	Find information about occupational therapy for a child.	What is an occupational therapist?	do you want to know how to become an occupational therapist	no	are you interested in the salary of an occupational therapist	No.	do you want to find an occupational therapist	Just info on it for a child.
39	39	222	F0510	What is the definition of male menopause?	I'm looking for information on male menopause	are you interested in the differences between male and female menopause	what is the definition of it	are you interested to see male menopause jokes	No, the definition of Male menopouse.	would you like to know what age men may start male menopause	No, I would like to know the definition of it.
40	40	209	F0453	What education does one need to become a land surveyor?	I'm interested to know about land surveyor	do you want to know more about gear of land surveyor	yes i want to know about the what education does one need to become a land surveyor	are you looking to hire a land surveyor	I don't know	are you curious what a land surveyor does	No, I want to know what education one needs to become one
41	41	233	F0536	Where can I find organic or chemical free hair dye products?	Tell me about hair dye.	are you interested in a particular hair dye or a history of hair dye	i am interested in organic or chemical free hair dyes	do you know what color of hair dye to use	I don't know	what color of hair dye are you looking for	No, I need organic only hair dye with no chemicals.
42	42	254	F0600	Is there a link between Barrett's Esophagus and cancer?	Tell me about barrett's esophagus	would you like to get information about getting diagnosed with barretts esophagus	no i would like to know if barretts esophagus is linked with cancer	would you like to know about the symptoms of barretts esophagus	No, I already said I want to know if it has been linked to any kinds of cancer.	do you want to know if barretts esophagus is serious	No, I just want to know if it is linked to any type of cancer.
43	43	216	F0490	What was the movie Nicolas Cage appeared in that was released in 2011?	which are famous movies where Nicolas Cage appeared?	would you like to see the top ten most popular nicolas cage movies	no only the one that was released in 2011	quiz time which 2011 film featured nicolas cage	I don't know.	are you interested in the nicolas cage movie for which cage won the best actor oscar	No, What movies did Nicolas Cage appear in the year 2011 only.
44	44	275	F0676	Find details regarding the casualties of the USS Cole bombing	Tell me about USS Cole.	are you interested in the history of the uss cole	yes the history and details of the uss cole bombing	are you interested in learning more of the uss cole bombing	No, just give me a general history of uss cole.	would you like to know how many deaths occured in the uss cole bombing	Yes, how many, and who died in the bombing.
45	45	237	F0549	What are some remedies for a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	yes i would like to know what some of the remedies are	are you interested in seeing remedies for alleviating a lump in the throat	Yes, thank you	do you need info on remedies	yes.
46	46	237	F0550	How does anxiety cause the feeling of a lump in the throat?	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	i want to know how does anxiety cause the feeling of a lump in the throat	would you like to view sad movies or shows that give you a lump in your throat	I don't know	are you interested in the reasons a lump in the throat occurs	Yes, especially in terms of anxiety.
47	47	202	F0424	Find the home page of the USS Carl Vinson (CVN70) carrier.	Give me information on uss carl vinson.	would you like to know where the uss carl vinson is at right now	no id just like to find the home page of the uss carl vinson carrier	would you like to know the home port of the uss carl vinson	Yes	are you interested in who carl vinson was	No, im looking for the ships home port.
48	48	290	F0734	How do you identify a Norway Spruce?	Tell me about norway spruce.	what about norway spruce are you looking for	id like to know how to identify one	are you interested in the tree by the name of norway spruce	yesi iam	are you talking about a plant by the name of norway spruce	Yes, that is what I need to know how to identify.
49	49	279	F0695	Find seminars, symposia, workshops, and/or courses on game theory.	Tell me about game theory.	what type of game theory do you want to know about	i don know what types of game theory are there	are you looking for the definition of game theory	I am looking for webinars, workshops, or ohther resources that can explain game theory.	are you interested in videos about game theory	Yes a video like a webinar would be good.
50	50	208	F0448	Who's in the cast of the Doctor Zhivago movie?	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	yes	do you want to read reviews about dr zhivago	No, I want to know the cast.	do you want to know which actor played doctor zhivago in the movie	YES, I really want know who the actor is.
51	51	253	F0595	What are the concerns with extracting an abscessed tooth?	What treatments are available for a tooth abscess?	would you like to learn about home remedies for treating a tooth abscess	no i would learn about the concecuenses	do you want to know about tooth abscess symptoms	Find me the concerns associated withextracting an abscessed tooth.	do you want to know how a tooth abscess is treated	I would like to know what happens after the abscessed tooth is treated, are there any concerns?
52	52	206	F0433	Find information on wind power companies.	I'm looking for wind power	would you like to learn about wind power for homes	no i would like information about commercial wind power	want to know more about wind energy in the united states	Information on Wind power companies.	are you looking for the definition of wind power	No just info on the companies.
53	53	212	F0471	Find information about wireless home theater systems.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	im trying to find out more information about wireless home theater systems	would you like to buy a home theater system	I don't know	are you looking to purchase a home theater system	maybe, but first I need to see wireless home theather systems for sale.
54	54	279	F0694	How is game theory defined?	Tell me about game theory.	would you like to know the history of game theory	no i would like you to define game theory	are you looking for the definition of game theory	Yes	are you interested in videos about game theory	No, I would just like the general definition of game theory.
55	55	278	F0686	What characters inhabited Mister Rogers' Neighborhood?	Find information about mister rogers	would you like to know where you can watch the tv show mister rogers	no i want to know all the characters in the show	do you need to know information about mister rogers	No, I want to know who the other characters in the show were.	are you interested in mister rogers television show	Yes, I would like to have a list of all the charcters.
56	56	290	F0736	Find information on planting and growing Norway Spruce trees.	Tell me about norway spruce.	what about norway spruce are you looking for	i want to know how to plant and grow them	are you talking about a plant by the name of norway spruce	Yes.	are you asking about a man named norway spruce	No, I am asking about a type of tree named Norway Spruce.
57	57	279	F0695	Find seminars, symposia, workshops, and/or courses on game theory.	Tell me about game theory.	what type of game theory do you want to know about	i don know what types of game theory are there	are you looking for the definition of game theory	I am looking for webinars, workshops, or ohther resources that can explain game theory.	are you interested in videos about game theory	No, I am wanting to find webinars, workshops and other resources that can explain the game theory in detail.
58	58	235	F0543	Find information on ham radio antennas.	How do you get a ham radio license?	do you need instructions on how to operate a ham radio	does not specify query is broad	would you like to know a general description of ham radio	No, I want to find out what kind of antennas they use.	want to know which antennas ham radios use	Yes and general info on them.
59	59	291	F0742	Is there a pass within the Sangre de Cristo mountain range?	tell me about sangre de cristo mountains	are you interested in a map of the sangre de cristo mountains	i want to know whether there is a pass located at the sangre de cristo mountains	why are you interested in sangre de cristo mountains	Because I need to know if there is a pass inside of that mountain range.	would you like to see a map of sangre de cristo mountains	No just if there is a pass within them.
60	60	206	F0435	Find information on how wind turbines work.	I'm looking for wind power	would you like to learn about wind power for homes	no i want to know how wind turbines work	are you looking for the definition of wind power	No.	would you like to view the pros and cons of using wind power	No, I just want to know about how the turbines themselves work.
61	61	268	F0644	How is running beneficial to the health of the human body?	What are the benefits of running?	are you wanting to know benefits of running vs walking	i want to know the health benefits	are you planning to run or exercise	Run.	which types of benefits are you interested in with regard to running	Any benefits that you can find would be helpful.
62	62	201	F0418	What is a raspberry pi?	I would like to know more about raspberry pi	do you want to know where raspberry pi is made	no i want to know what it is	would you like to know about raspberry pi os	Yes.	do you want to know which operating systems that work for raspberry pi	Yes. I would like to know the operating systems that work with raspberry pi please.
63	63	289	F0727	How does yoga benefit runners?	tell me about benefits of yoga	would you like to know how the benefits of yoga are related to time of day	i want to know the benefits of yoga on runners	do you like to know benefits of yoga in the morning	I don't know	what types of benefits of yoga would you like to know about	the benefits of yoga that pertains to runners.
64	64	243	F0567	How can I purchase an Afghanistan flag?	Find information about afghanistan flag	do you want to know how many square miles afghanistan is	I don't understand your question.	would you like to know where afghanistan is on the map	No I want to be directed to a place where I can purchase an Aghanistan flag	are you looking for a map of afghanistan	No I am not looking for a map of Afghanistan.
65	65	244	F0568	Find restaurants in Old Town Scottsdale, AZ.	old town scottsdale	would you like to know the location of old town scottsdale	i would like to know the location of restaurants within old town scottsdale	are you interested in old town scottsdale	yes	are you interested in the history of scottsdale	yes.
66	66	278	F0689	"What songs were sung on ""Mister Rogers' Neighborhood""?"	Find information about mister rogers	would you like to know where you can watch the tv show mister rogers	no i only want the songs	would you like to know about mister rogers family	Yes, but specifically the music	would you like to see mister rogers biography	No, I want to know about the songs on his show only
67	67	288	F0718	Find biographical information about Fidel Castro.	I'm interested in Fidel Castro	who is fidel castro	no	what specifically do you need to know about fidel castro	His biographical information.	what facts did you want to know about fidel castro	Any facts about him would be good.
68	68	206	F0436	Find pictures of wind turbines used for wind power.	I'm looking for wind power	would you like to learn about wind power for homes	no i would like pictures of wind turbines for wind power	are you interested in the benefits of wind power	I want pictures of wind power	are you interested in news articles on wind power	I would like news articles if they include pictures.
69	69	259	F0623	Do carpenter bees sting?	What is special about Carpenter bees?	what kind of sound carpenterter bees make	id like to know if carpenterter bees sting	do you want to know more about carpenterter bees sting	Yes, I want to know if they sting.	do you need to know how to get rid of carpenterter bees	No, I need to know if Carpenter Bees can sting.
70	70	260	F0631	What were the causes of the American revolutionary war?	tell me more about the american revolutionary	what revolutionary general would you like to know about	not the general the causes of the war	which viewpoint of the american revolutionary are you interested in	The historically deduced causes post war.	do you want the american revolutionary war a specific person or a specific army	No, I would like to know what caused the American Revolutionary War to begin.
71	71	297	F0756	What are the treatments for altitude sickness?	Tell me about altitude sickness.	what aspects of altitude sickness are you looking for information on	i am looking for treatments for altitude sickness	do you want to know chances to have altitude sickness in specific locations	No, treatments for altitude sicness.	would you like to know how to reverse altitude sickness	yes and what are the causes of altitude sickness?
72	72	226	F0523	Find information about the Traverse City Record-Eagle.	Tell me about traverse city.	are you trying to find directions to traverse city	no i want information about traverse city recordable	do you want to know about the local government of traverse city	yes	would you like to see a list of things to do in traverse city	sure.
73	73	206	F0436	Find pictures of wind turbines used for wind power.	I'm looking for wind power	want to know more about wind energy in the united states	no show me pictures of them	are you looking for the definition of wind power	No. I need pics of wind turbines	would you like to view the pros and cons of using wind power	No, I need photos of wind turbines that are used to produce wind power.
74	74	255	F0604	Find information about teddy bear picnics.	Tell me about teddy bears.	do you want to know where to buy teddy bears	no i want to know more about teddy bear picnics	are you interested in the history of teddy bears	No.	do you want to know about the history of teddy bears	No just tell me about the picnics.
75	75	269	F0646	Find the Marshall County Schools in Kentucky school calendar	Find information about marshall county schools.	would like to know a list of marshall county schools in your state	i am looking for the school calendar for marshall county schools in the state of kentucky	what state are you searching for marshall county schools	Kentucky.	are you looking for events	yes in calender format please
76	76	226	F0520	Find information about hotels in Traverse City, Michigan.	Tell me about traverse city.	are you trying to find directions to traverse city	no i want to find information on hotels in traverse city	are you asking about traverse city in michigan	I need to know where to stay when I go there	are you looking for accommodations in traverse city	Yes I am.
77	77	260	F0631	What were the causes of the American revolutionary war?	tell me more about the american revolutionary	would you like me to tell you why the american revolution began	yes	would you like to know who fought in the american revolution	No, I want to find out why the American Revolution happened.	do you want the american revolutionary war a specific person or a specific army	I just want the causes of it.
78	78	274	F0671	Find information about golf schools.	Find information on golf instruction.	are you looking to go to the nearest golf course	I don't understand your question.	are you interested in the current changes on the rules of golf	Yes, Give me a break down on the rules.	do you want to know how many rules of golf there are	Nope just info on the schools.
79	79	274	F0673	What golf instructional videos (DVDs) are available?	Find information on golf instruction.	are you trying to find out how to become a golf instructor	no i need instructional dads on playing golf	are you trying to find a golf instructor near you	I don't know	how many hours a week do you want to take golf lessons	I don't want to take golf lessons
80	80	213	F0478	Which activities are prevalent among CTS sufferers?	I'm looking for information on carpal tunnel syndrome	would you like to know how to prevent carpal tunnel syndrome	no i want to know about the activities that are prevalent among cts sufferers	would you like know about carpal tunnel syndrome	No, i'd like to know what activities someone with carpal tunnle sundrome can do.	are you interested in the exercises for carpal tunnel	No. What repetitive activities cause carpal tunnel syndrome?
81	81	207	F0438	What are the treatment options for BPH (benign prostatic hyperplasia)?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes i want to know the treatment options	do you want to know what causes bph	No.	do you need pain medication to accompany your bph treatment	no, I am just looking for treatment options right now.
82	82	281	F0703	What is a ketogenic diet?	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	yes and its side effects i want to know exactly what it is	do you need to read the rules of a ketogenic feet	No.	would you like to know which foods to stay away from on a ketogenic feet	Yes and the foods that comprise it.
83	83	275	F0676	Find details regarding the casualties of the USS Cole bombing	Tell me about USS Cole.	would you like to know where the uss cole is	no i would ike to know more about the casualties of the uss cole bombing	would you like to know about the 2000 uss cole bombing	yes, more about the deaths	are you interested in learning more of the uss cole bombing	Yes, show me more.
84	84	206	F0434	Find information on residential (home) wind power.	I'm looking for wind power	would you like to learn about wind power for homes	yes	do you want to know the basics of wind power	Residential wind power.	are you looking for the definition of wind power	I'm looking for information on residential wind power, not the definition of wind power.
85	85	299	F0760	Who sells ground beef with pink slime in it?	What is pink slime in ground beef	do you want to know what a pink slime actually is	no i am curious about who is selling the beef with the slime in it	do you want to know what pink slime in ground beef is made of	No, I'd like to know who is selling the beef that contains pink slime.	do you want to know if pink slime used at school canteens	No just what places sells it.
86	86	270	F0655	Find comparisons of Sun Tzu and Machiavelli.	I'm interested in sun tzu	would like to know the story behind sun tzu	no i want a comparison of him to machiavelli	are you more interested in how to apply sun tzu philosophy to a business	No.	are you interested in books written about sun tzu	yes and how much is the books written about sun tzu?
87	87	291	F0742	Is there a pass within the Sangre de Cristo mountain range?	tell me about sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	yes show me a map	are you planning on travelling to sangre de cristo mountains	Yes.  I also want to know if at any point with the mountain range their is a pass?	why are you interested in sangre de cristo mountains	I would like to know if there is a pass going through the Sangre de Cristo mountain range that can be used for car travel.
88	88	272	F0660	What do dreams about water mean?	How can I interpret my dreams	would you like an app on dreams interpretation	no i want to know what dreams about water mean	are you interested in dreams interpretations dealing with water	Yes.	do you want to know what dreams mean	I only want to know what dreams about water mean.
89	89	278	F0688	Find Mister Rogers videos.	Find information about mister rogers	would you like to know where you can watch the tv show mister rogers	yes	would you like to know about mister rogers family	I don't know	do you need to know information about mister rogers	Yes, where can i find more information about mister rogers?
90	90	278	F0688	Find Mister Rogers videos.	Find information about mister rogers	are you interested in the details of mister rogers life	no	are you interested in the mister rogers movie	Yes and videos too	what would you like to know about mister rogers	When did mister roger's show air?
91	91	206	F0437	Find pictures of a wind farm.	I'm looking for wind power	would you like to learn about wind power for homes	pull up images of wind farms for me to see	are you looking for the definition of wind power	No, I would lie to see picturesof a wind farm.	i have some photos of a wind farm want to see them	Yes, I want to see as many photos of a wind farm as possible
92	92	281	F0703	What is a ketogenic diet?	What is a ketogenic diet?	are you looking for diet information	I don't understand your question.	do you want to learn about the history of dieting	I don't know	are you interested in reading some inspirational quotations about dieting	No, I would like information of the ketogenic diet, also known as the keto diet.  What is the Keto Diet?
93	93	235	F0545	Find the web site of Ham Radio Outlet.	How do you get a ham radio license?	would you the frequencies of various ham radio stations	no i want to view the website for ham radio outlet	would you like a list of stores near you that sell ham radios	No, I would like the web site for the Ham Radio Outlet.	want to know which antennas ham radios use	No just want to know the website of them.
94	94	210	F0464	Find information on handheld golf gps devices.	golf gps	would you like to buy a golf gps system	no i just want information on them	would you like a comparison of golf gps systems	Yes as much information as you can give me	are you looking for golf ball sized gps technologies	yes, any type you can show me
95	95	294	F0747	What are the names of some flowering plants?	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	yes i want to know about the distinctive features of flowering plants and their name	how much gardening do you want with your flowering plant	Just tell me about the distinctive features please.	are you looking for activities that involve plants	No, I would like the name of some specific plants
96	96	216	F0488	What movies has Nicolas Cage appeared in?	which are famous movies where Nicolas Cage appeared?	is there a specific nicolas cage movie your interested in	no i want a complete list of all the movies nicolas cage has been in	are you interested in reading the scripts for nicolas cage movies	No, I want to know the movies he has been in.	would you like to see the top ten most popular nicolas cage movies	no, I would like to see a complete lists of the movies nicolas cage has been
97	97	245	F0574	Find real estate listings for Roosevelt Island (NY).	roosevelt island	are you interested in the history of roosevelt island	no i need real estate info	would you like to see a map of roosevelt island	No, i'd like to see what real estate is avilable on Roosevelt Island.	would you like to visit roosevelt island	No, but I would like to see real estate listings on the island
98	98	288	F0720	Find information on the health of Fidel Castro.	I'm interested in Fidel Castro	who is fidel castro	i want information about his health	what specifically do you need to know about fidel castro	i need to know the cause of his death	what facts did you want to know about fidel castro	How did he die?
99	99	278	F0687	Find quotes from Mister Rogers.	Find information about mister rogers	would you like to know where you can watch the tv show mister rogers	id like to find some quotes from him	would you like a list of quotes by mister rogers	Yes, that would be perfect.	do you need to know information about mister rogers	I just want to get some quotes from him.
100	100	272	F0664	What do dreams about death mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	i would like to specifically know what death dreams mean	do you want to know what dreams mean	Yes	do you what to know about interpretation of decease in dreams	No, I specifically would like to know about what death means when it's in a dream.
101	101	209	F0451	Find job openings for land surveyors.	I'm interested to know about land surveyor	are you thinking about a career as a land surveyor	yes can you tell me of any jobs in the area	which type of land surveyor are you interested in	I don't know.	what is the salary range of a land surveyor	I don't know.
102	102	294	F0751	Find pictures of flowering plants.	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	no i want to see some pictures	how big would you like your flowering plants to get	I am not sure, I want to see pictures before I decide.	how much gardening do you want with your flowering plant	I just want to see pictures of flowering plants at this time.
103	103	288	F0721	Who are Fidel Castro's family members?	I'm interested in Fidel Castro	are you wanting to read about fidel castro biography	no just tell me who are all related to him	had fidel castro have a family	I don't know.	are you interested in what fidel castro did for cuba	Yes but not at the moment.
104	104	288	F0717	Find quotes from Fidel Castro.	I'm interested in Fidel Castro	are you wanting to read about fidel castro biography	no i want fidel castro quotes	are you interested in what fidel castro did for cuba	No, I just want the exact quotes that are attributed to Fidel Castro.	do you need to know what fidel castro did for cuba	No, just things that Fidel Castro said.
105	105	201	F0419	What software does a raspberry pi use?	I would like to know more about raspberry pi	do you want to know where raspberry pi is made	no i want to know what software it uses	would you like to buy raspberry pi computer	Maybe, but I need to know what software the raspberry pie uses first.	would you like to know about raspberry pi os	yes, I would like to know what kind of software that the raspberry pie uses
106	106	285	F0713	What are the symptoms of a magnesium deficiency?	I'm interested in magnesium rich foods	would you like to know about magnesium rich foods that are kid friendly	no id like to know what the symptoms are if i don get enough magnesium	do you want to find recipes to learn how to make magnesium rich foods	No.	would you like to learn the drawbacks to consuming magnesium rich foods	No just what happens if you don't have enough of it.
107	107	207	F0444	What are the side effects of BPH treatments?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes that would be helpful it includes the side effects	do you want to know what causes bph	No, I want to know what would happen if I treated it- what side effects I'd experience	are you interested in treatment side effects	Yes tell me about treatment side effects.
